~id,name:String,~label,abbreviation:String
1,acob,languages,
2,actionscript,languages,
3,acu-cobol,languages,
4,ada,languages,
5,adaplex,languages,
6,al,languages,dynamics 365 business central
7,algol,languages,
8,angular typescript,languages,
9,ansi c,languages,
10,apex,languages,
11,apl,languages,
12,apple script,languages,
13,arm assembler,languages,
14,arm cortex v8/v9 assembler,languages,
15,arm neon vector processing assembler,languages,
16,asn.1,languages,
17,assembler 8051,languages,
18,assembler 8080,languages,
19,assembler 8085,languages,
20,assembler dsp563xx,languages,
21,assembler h,languages,
22,assembler mips r3000-r4000,languages,
23,assembler motorola 6800,languages,
24,assembler motorola 68000,languages,
25,assembler powerpc,languages,
26,assembler sun sparc,languages,
27,assembler x86,languages,
28,assembler z80,languages,
29,awk,languages,
30,baan c,languages,
31,bash,languages,
32,basic,languages,
33,bat,languages,
34,bos,languages,
35,bourne shell,languages,
36,business basic,languages,
37,c,languages,
38,c shell,languages,
39,c#,languages,
40,c/al,languages,
41,c++,languages,
42,cachéscript,languages,
43,cassandra query language,languages,cql
44,clarion abc,languages,
45,clarion legacy,languages,
46,clist,languages,
47,clojure,languages,
48,cobol,languages,
49,cobol ii,languages,
50,cobol/370,languages,
51,cocoa,languages,
52,coffeescript,languages,
53,comal,languages,
54,concorde xal,languages,
55,csp,languages,
56,css,languages,
57,css3,languages,
58,dart,languages,
59,data analysis expressions,languages,dax
60,data flex,languages,
61,data manipulation language,languages,dml
62,ddm,languages,
63,delphi,languages,
64,dl-i,languages,
65,dom,languages,
66,easytrieve +,languages,
67,ecmascript,languages,
68,ecmascript 5,languages,
69,egl,languages,enterprise generation language
70,eiffel,languages,
71,elixir,languages,
72,embedded c,languages,
73,erlang,languages,
74,esql,languages,
75,f#,languages,
76,focus,languages,4gl
77,formula,languages,
78,forth,languages,
79,fortran,languages,
80,g++,languages,
81,gherkin,languages,
82,go,languages,golang
83,gosu,languages,
84,graphql,languages,
85,groovy,languages,
86,haskell,languages,
87,haxe,languages,
88,high level shader language,languages,hlsl
89,hsql,languages,hyper sql
90,html,languages,
91,html5,languages,
92,hypertalk,languages,
93,iar c compiler,embed..c,languages,
94,ideal,languages,
95,informix,languages,4gl
96,ingres,languages,4gl
97,jass,languages,
98,java,languages,
99,javafx script,languages,
100,javascript,languages,
101,jcl,languages,
102,jpql,languages,jpaql,java persistence query language
103,jscript,languages,
104,jython,languages,
105,kornshell,languages,
106,kotlin,languages,
107,lexx/yacc,languages,
108,lisp,languages,
109,logo,languages,
110,lotusscript,languages,
111,lua,languages,
112,majic/spel,languages,
113,managed c++,languages,
114,mapbasic,languages,
115,matlab,languages,
116,mdx,languages,multidimensional expressions
117,meta language,languages,ml
118,metaassembler,languages,
119,microchip assembler,languages,
120,microsoft visual basic,languages,
121,microsoft visual basic .net,languages,
122,modula 2,languages,
123,modula 3,languages,
124,mumps,languages,
125,mxml,languages,
126,natural,languages,4gl
127,oberon,languages,
128,object pascal,languages,
129,objective-c,languages,
130,oml,languages,outline markup language
131,oo javascript,languages,
132,openroad,languages,
133,owl,languages,
134,pascal,languages,
135,perl,languages,
136,perl script,languages,
137,personaljava,languages,
138,php,languages,
139,php4,languages,
140,php5,languages,
141,php7,languages,
142,pjl,languages,printer job language
143,pl/1,languages,
144,pl/m,languages,intel
145,pl/sql,languages,
146,plc7,languages,
147,plex,languages,
148,plm,languages,
149,pnuts,languages,
150,postscript,languages,
151,power++,languages,
152,powerhouse,languages,4gl
153,powerhouse qtp,languages,
154,powerscript,languages,
155,powershell,languages,
156,powershell core,languages,
157,pro iv,languages,
158,progress,languages,4gl
159,prolog,languages,
160,psf-afp,languages,
161,python,languages,
162,qbasic,languages,
163,qml,languages,qt meta-object language
164,quicktime technologies,languages,
165,r,languages,language
166,regex,languages,
167,rexx,languages,
168,rexx for os/2,languages,
169,rm-cobol,languages,
170,rpg,languages,
171,rpg ile,languages,rpgle,rpg iv
172,rpg-400,languages,
173,ruby,languages,
174,rust,languages,
175,s@t markup language,languages,s@tml
176,saml,languages,
177,sap abap,languages,
178,sas,languages,4gl
179,sas base,languages,
180,sas batch,languages,
181,sas online,languages,
182,sas/sql,languages,
183,sass,languages,
184,scala,languages,
185,scobol,languages,
186,scss,languages,sassy css
187,sdl/gr,languages,
188,sdl/pr,languages,
189,shell script,languages,
190,simatic s5,languages,
191,simatic s7,languages,
192,simnet ii,languages,
193,smalltalk,languages,
194,sql,languages,
195,sqr,languages,
196,standard ml,languages,
197,swift,languages,
